image,km,model,model_type,price,url,year
https://images.finncdn.no/dynamic/480w/2023/4/vertical-3/26/8/300/534/928_824400356.jpg,90000,Volkswagen,Caddy,229900,https://www.finn.no/pw/ad/car-used-sale/300534928?orgId=783850227,2018
https://images.finncdn.no/dynamic/480w/2023/4/vertical-3/17/5/299/220/705_690451446.jpg,102000,Volkswagen,Transporter,189900,https://www.finn.no/pw/ad/car-used-sale/299220705?orgId=783850227,2017
https://images.finncdn.no/dynamic/480w/2023/3/vertical-3/24/4/296/068/634_966310199.jpg,92000,Isuzu,Dmax,299900,https://www.finn.no/pw/ad/car-used-sale/296068634?orgId=783850227,2018
https://images.finncdn.no/dynamic/480w/2023/2/vertical-3/12/2/291/170/262_48002285.jpg,81000,Peugeot,Partner,139900,https://www.finn.no/pw/ad/car-used-sale/291170262?orgId=783850227,2018
https://images.finncdn.no/dynamic/480w/2023/2/vertical-3/10/1/275/907/261_688286441.jpg,69900,Mazda,6,269900,https://www.finn.no/pw/ad/car-used-sale/290954108?orgId=783850227,2017
https://images.finncdn.no/dynamic/480w/2023/2/vertical-3/10/1/279/590/921_1225060998.jpg,95000,Ford,Mondeo,199900,https://www.finn.no/pw/ad/car-used-sale/290953378?orgId=783850227,2016
https://images.finncdn.no/dynamic/480w/2023/2/vertical-3/09/1/290/846/511_724913872.jpg,49000,Toyota,Proace,169900,https://www.finn.no/pw/ad/car-used-sale/290846511?orgId=783850227,2015
https://images.finncdn.no/dynamic/480w/2023/2/vertical-3/01/1/263/311/811_824197561.jpg,75000,Ford,Transit,159900,https://www.finn.no/pw/ad/car-used-sale/289927791?orgId=783850227,2015
https://images.finncdn.no/dynamic/480w/2023/2/vertical-3/01/0/277/111/460_1843288456.jpg,96000,Mazda,6,219900,https://www.finn.no/pw/ad/car-used-sale/289927594?orgId=783850227,2016
https://images.finncdn.no/dynamic/480w/2023/2/vertical-3/01/2/269/046/862_237449477.jpg,156000,BMW,5serie,209900,https://www.finn.no/pw/ad/car-used-sale/289925887?orgId=783850227,2011
https://images.finncdn.no/dynamic/480w/2023/2/vertical-3/01/6/256/276/866_1371547578.jpg,209000,MercedesBenz,CKlasse,99900,https://www.finn.no/pw/ad/car-used-sale/289925500?orgId=783850227,2009
https://images.finncdn.no/dynamic/480w/2023/2/vertical-3/01/2/256/485/212_1410491380.jpg,133000,Volvo,V70,209900,https://www.finn.no/pw/ad/car-used-sale/289925312?orgId=783850227,2016
https://images.finncdn.no/dynamic/480w/2023/1/vertical-3/30/3/283/217/833_2086544429.jpg,63000,Volvo,XC,629900,https://www.finn.no/pw/ad/car-used-sale/289618477?orgId=783850227,2018
https://images.finncdn.no/dynamic/480w/2023/1/vertical-3/25/8/289/003/158_536531585.jpg,174000,BMW,6serie,399900,https://www.finn.no/pw/ad/car-used-sale/289003158?orgId=783850227,2012
https://images.finncdn.no/dynamic/480w/2023/1/vertical-3/24/1/288/860/171_1039499103.jpg,270000,Volkswagen,Crafter,199900,https://www.finn.no/pw/ad/car-used-sale/288860171?orgId=783850227,2014
https://images.finncdn.no/dynamic/480w/2023/1/vertical-3/19/5/253/023/145_1754858274.jpg,85000,Skoda,Citigo,74900,https://www.finn.no/pw/ad/car-used-sale/288341071?orgId=783850227,2015
https://images.finncdn.no/dynamic/480w/2023/1/vertical-3/19/6/254/787/576_141734457.jpg,106000,Mitsubishi,ASX,189900,https://www.finn.no/pw/ad/car-used-sale/288341138?orgId=783850227,2015
https://images.finncdn.no/dynamic/480w/2023/1/vertical-3/19/2/252/219/362_1879485510.jpg,46000,Nissan,Juke,139900,https://www.finn.no/pw/ad/car-used-sale/288340923?orgId=783850227,2014
https://images.finncdn.no/dynamic/480w/2023/1/vertical-3/19/1/288/262/481_2084821242.jpg,119000,MercedesBenz,AKlasse,169900,https://www.finn.no/pw/ad/car-used-sale/288262481?orgId=783850227,2013
https://images.finncdn.no/dynamic/480w/2023/1/vertical-3/18/1/249/218/451_789008352.jpg,135000,BMW,X1,149900,https://www.finn.no/pw/ad/car-used-sale/288231255?orgId=783850227,2014
https://images.finncdn.no/dynamic/480w/2023/1/vertical-3/18/0/248/379/840_133355789.jpg,65000,Peugeot,2008,129900,https://www.finn.no/pw/ad/car-used-sale/288231048?orgId=783850227,2014
https://images.finncdn.no/dynamic/480w/2023/1/vertical-3/18/2/247/782/002_46321290.jpg,89000,BMW,1serie,99900,https://www.finn.no/pw/ad/car-used-sale/288227607?orgId=783850227,2007
https://images.finncdn.no/dynamic/480w/2023/1/vertical-3/18/8/244/840/888_2108794306.jpg,96000,Suzuki,Swift,129900,https://www.finn.no/pw/ad/car-used-sale/288227429?orgId=783850227,2016
https://images.finncdn.no/dynamic/480w/2023/1/vertical-3/18/7/242/065/517_87055422.jpg,125000,Subaru,Impreza,139900,https://www.finn.no/pw/ad/car-used-sale/288226941?orgId=783850227,2014
https://images.finncdn.no/dynamic/480w/2023/1/vertical-3/07/0/286/696/390_873452079.jpg,63000,BMW,i3,199900,https://www.finn.no/pw/ad/car-used-sale/286696390?orgId=783850227,2017
https://images.finncdn.no/dynamic/480w/2023/1/vertical-3/06/5/286/614/995_1558043592.jpg,63000,Kia,Soul,189900,https://www.finn.no/pw/ad/car-used-sale/286614995?orgId=783850227,2018
https://images.finncdn.no/dynamic/480w/2022/11/vertical-3/28/9/282/625/479_670479337.jpg,110000,Audi,A7,239900,https://www.finn.no/pw/ad/car-used-sale/282625479?orgId=783850227,2011
https://images.finncdn.no/dynamic/480w/2022/11/vertical-3/17/7/281/293/897_1915778978.jpg,58000,Kia,Soul,189900,https://www.finn.no/pw/ad/car-used-sale/281293897?orgId=783850227,2018
https://images.finncdn.no/dynamic/480w/2022/11/vertical-3/10/2/254/550/362_596345702.jpg,92000,Skoda,Octavia,289900,https://www.finn.no/pw/ad/car-used-sale/280444502?orgId=783850227,2018
https://images.finncdn.no/dynamic/480w/2022/11/vertical-3/01/0/279/330/140_1971285948.jpg,70000,Volkswagen,Golf,169900,https://www.finn.no/pw/ad/car-used-sale/279330140?orgId=783850227,2017
https://images.finncdn.no/dynamic/480w/2022/10/vertical-3/18/2/277/573/382_246048837.jpg,70000,Skoda,Octavia,299900,https://www.finn.no/pw/ad/car-used-sale/277573382?orgId=783850227,2019
https://images.finncdn.no/dynamic/480w/2022/10/vertical-3/13/7/276/840/937_903679323.jpg,109000,Volkswagen,Passat,239900,https://www.finn.no/pw/ad/car-used-sale/276840937?orgId=783850227,2016
https://images.finncdn.no/dynamic/480w/2022/10/vertical-3/12/7/276/708/457_1652637321.jpg,57000,MercedesBenz,GLC,579900,https://www.finn.no/pw/ad/car-used-sale/276708457?orgId=783850227,2018
https://images.finncdn.no/dynamic/480w/2022/10/vertical-3/06/8/275/903/878_727243834.jpg,84000,Ford,Mondeo,209900,https://www.finn.no/pw/ad/car-used-sale/275903878?orgId=783850227,2016
https://images.finncdn.no/dynamic/480w/2022/10/vertical-3/05/1/275/745/631_1641932064.jpg,142000,Opel,Astra,89900,https://www.finn.no/pw/ad/car-used-sale/275745631?orgId=783850227,2007
https://images.finncdn.no/dynamic/480w/2022/10/vertical-3/05/5/275/742/925_1087655480.jpg,232000,Toyota,Avensis,49900,https://www.finn.no/pw/ad/car-used-sale/275742925?orgId=783850227,2007
https://images.finncdn.no/dynamic/480w/2022/10/vertical-3/01/2/275/143/992_971004237.jpg,55000,Toyota,Yaris,179900,https://www.finn.no/pw/ad/car-used-sale/275143992?orgId=783850227,2018
https://images.finncdn.no/dynamic/480w/2022/9/vertical-3/05/8/271/947/748_579760265.jpg,93000,MINI,Cooper,199900,https://www.finn.no/pw/ad/car-used-sale/271947748?orgId=783850227,2016
https://images.finncdn.no/dynamic/480w/2022/9/vertical-3/02/9/271/501/239_1016170350.jpg,235000,MercedesBenz,CKlasse,199900,https://www.finn.no/pw/ad/car-used-sale/271501239?orgId=783850227,2015
https://images.finncdn.no/dynamic/480w/2022/1/vertical-3/14/8/223/700/738_483612638.jpg,166500,Volkswagen,Tiguan,179900,https://www.finn.no/pw/ad/car-used-sale/244841296?orgId=783850227,2012
https://images.finncdn.no/dynamic/480w/2021/9/vertical-3/23/9/232/871/659_1520668155.jpg,134000,MercedesBenz,CLK,109900,https://www.finn.no/pw/ad/car-used-sale/232871659?orgId=783850227,2004
https://images.finncdn.no/dynamic/480w/2021/9/vertical-3/10/0/231/327/730_1919235109.jpg,181000,Opel,Astra,49900,https://www.finn.no/pw/ad/car-used-sale/231327730?orgId=783850227,2009
https://images.finncdn.no/dynamic/480w/2020/9/vertical-3/16/5/191/691/145_566287830.jpg,292000,MercedesBenz,EKlasse,149900,https://www.finn.no/pw/ad/car-used-sale/191691145?orgId=783850227,1989
